origin,time,bw
App1,1655944020,200
App1,1655944040,185
App2,1655944040,190
App1,1655944050,120
App1,1655944055,125
App2,1655944060,186
App1,1655944065,180
App1,1655944075,220
App1,1655944090,195
App1,1655944100,120
App2,1655944100,115
App1,1655944110,200
App1,1655944120,210
App2,1655944150,120
App1,1655944160,200
App1,1655944180,205
App1,1655944185,198
App1,1655944190,193
App2,1655944195,185
App1,1655944195,171
App1,1655944200,128
App1,1655944205,170
App2,1655944210,199
App1,1655944220,200
App1,1655944230,204
App2,1655944230,207
App1,1655944235,201
App1,1655944240,195
App1,1655944245,188
App2,1655944245,169
